year,Base case cost,Modeled solar power (pv)
2016,140603.182736,144297.898429
2017,162803.685273,166110.88223
2018,179161.9503,182163.445976
2019,201013.924506,203651.449652
2020,210710.032853,213132.364178
2021,217720.717865,219971.13092
2022,222783.990374,224890.292999
2023,226678.81538,228658.605633
2024,229405.192885,231275.656956
2025,232910.535391,234664.940972
2026,237194.842898,238826.623976
2027,240700.185404,242221.451094
2028,244339.255807,245757.241949
2029,248242.438807,249550.551692
2030,250584.348607,251803.263558
2031,254877.849907,255987.419773
2032,259726.321981,260729.114435
2033,264029.017074,264927.545657
2034,268722.866266,269515.216802
2035,272040.989716,272751.339786
