year,Base case diesel consumed,Modeled solar power (pv)
2016,38948.2500653,38442.723121
2017,38948.2500653,38446.7673365
2018,38948.2500653,38450.7791984
2019,39031.8300011,38538.338901
2020,38948.2500653,38458.7068941
2021,38948.2500653,38462.6232395
2022,38948.2500653,38466.5082541
2023,38948.2500653,38470.3621886
2024,38948.2500653,38474.1852916
2025,38948.2500653,38477.9778098
2026,38948.2500653,38481.7399878
2027,38948.2500653,38485.4720684
2028,39031.8300011,38572.7542282
2029,39031.8300011,38576.4268343
2030,39031.8300011,38580.0700597
2031,39031.8300011,38583.6841392
2032,39115.4099368,38670.8492419
2033,39115.4099368,38674.4057274
2034,39115.4099368,38677.9337611
2035,39198.9898726,38765.0135063
