year,Base case cost,Modeled biomass for heat (cordwood)
2017,391385.521031,400816.896566
2018,419742.721031,421812.558682
2019,458024.941031,450156.702538
2020,475748.191031,463278.991361
2021,487800.001031,472202.14776
2022,497016.091031,479025.737948
2023,503396.461031,483749.761924
2024,509067.901031,487948.894347
2025,514739.341031,492148.02677
2026,522537.571031,497921.833852
2027,528917.941031,502645.857828
2028,533880.451031,506320.098698
2029,540969.751031,511569.014227
2030,545223.331031,514718.363545
2031,553021.561031,520492.170627
2032,,
2033,,
2034,,
2035,,
2036,,
