year,Base case cost,Modeled non-residential energy efficiency
2017,540702.533429,562212.845135
2018,578937.834838,597851.971164
2019,630555.491739,645964.791304
2020,654452.55512,668239.245073
2021,670702.558218,683385.873635
2022,683129.031176,694968.589595
2023,691731.973993,702987.392952
2024,699379.034275,710115.218158
2025,707026.094556,717243.043364
2026,717540.802444,727043.803022
2027,726143.745261,735062.606378
2028,732834.923007,741299.453433
2029,742393.748359,750209.234941
2030,748129.043571,755555.103845
2031,758643.751458,765355.863503
