year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,70893.0,52489.1552897
2018,70893.0,52489.1552897
2019,70893.0,52489.1552897
2020,70893.0,52489.1552897
2021,70893.0,52489.1552897
2022,70893.0,52489.1552897
2023,70893.0,52489.1552897
2024,70893.0,52489.1552897
2025,70893.0,52489.1552897
2026,70893.0,52489.1552897
2027,70893.0,52489.1552897
2028,70893.0,52489.1552897
2029,70893.0,52489.1552897
2030,70893.0,52489.1552897
2031,70893.0,52489.1552897
2032,,
2033,,
2034,,
2035,,
2036,,
