year,Base case cost,Modeled solar power (pv)
2016,98144.5501177,101468.529624
2017,117064.514556,119952.336174
2018,130902.811804,133450.217569
2019,149977.221524,152096.83867
2020,159308.221061,161187.295537
2021,165680.549904,167370.046837
2022,170178.664381,171715.27507
2023,173938.780863,175345.360708
2024,176568.52485,177860.958235
2025,179573.94655,180748.593468
2026,184114.637834,185155.286111
2027,187126.738248,188055.266739
2028,189762.326111,190587.635515
2029,193956.559061,194662.614795
2030,196220.643408,196834.731408
2031,199994.117319,200494.208226
2032,204596.586717,204979.289732
2033,208756.591252,209024.592969
2034,213386.610349,213542.543115
2035,216039.729838,216109.738429
