year,Base case cost,Modeled water and wastewater efficiency
2017,107707.474843,81683.9591084
2018,114283.640475,86189.6428407
2019,123344.467979,92443.2621382
2020,127616.766138,95335.9848671
2021,130647.215894,97358.9561903
2022,132788.656855,98759.9145243
2023,134396.123663,99788.1887627
2024,135648.619663,100569.491683
2025,137080.201759,101478.934537
2026,139046.561845,102766.322442
2027,140483.943504,103684.424806
2028,141742.202406,104478.825317
2029,143532.3444,105648.918723
2030,144612.599341,106322.429944
2031,146405.144473,107498.318949
