year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.35
2004,,1.96,2.35
2005,,2.25,3.85
2008,,3.52,5.33
2009,,4.14,5.25
2010,,2.67,4.5
2011,,2.74,4.88
2012,,3.33,5.5
2013,,3.4,6.0
2014,,,6.0
2016,start of forecast,2.63,4.18
2017,,3.13,4.68
2018,,3.5,5.05
2019,,4.01,5.56
2020,,4.25,5.8
2021,,4.42,5.97
2022,,4.54,6.09
2023,,4.63,6.18
2024,,4.7,6.25
2025,,4.78,6.33
2026,,4.89,6.44
2027,,4.97,6.52
2028,,5.04,6.59
2029,,5.14,6.69
2030,,5.2,6.75
2031,,5.3,6.85
2032,,5.41,6.96
2033,,5.52,7.07
2034,,5.63,7.18
2035,,5.7,7.25
2036,,5.81,7.36
2037,,5.88,7.43
2038,,5.99,7.54
2039,,6.08,7.63
2040,,6.21,7.76
