year,Base case cost,Unalakleet (anvik river)
2021,165680.549904,3132903.85723
2022,170178.664381,3031644.38117
2023,173938.780863,2937809.54961
2024,176568.52485,2848872.02012
2025,179573.94655,2760022.63355
2026,184114.637834,2668197.43086
2027,187126.738248,2582835.15672
2028,189762.326111,2500866.2909
2029,193956.559061,2415824.05584
2030,196220.643408,2338815.73884
2031,199994.117319,2256518.17834
2032,204596.586717,2174486.26099
2033,208756.591252,2093503.37532
2034,213386.610349,2014447.04835
2035,216039.729838,1943198.80901
2036,220208.917607,1866493.1199
2037,222862.037096,1797990.45688
2038,227531.293642,1724466.06365
2039,230949.960825,1655166.04114
2040,235888.035645,1580286.19389
2041,235888.035645,1528880.41077
2042,236406.470889,1479197.88472
2043,236406.470889,1430173.51113
2044,236406.470889,1382298.14586
2045,236406.470889,1335544.86033
2046,236406.470889,1289887.35295
2047,236406.470889,1245299.94513
2048,236406.470889,1201757.55354
2049,236406.470889,1159235.6861
2050,236406.470889,1117710.42613
