year,annotation,Electricity price ($/kwh)
2002,,0.44
2003,,0.45
2004,,0.46
2005,,0.48
2006,,0.54
2007,,0.55
2008,,0.58
2009,,0.67
2010,,0.65
2011,,0.59
2012,,0.65
2013,,0.65
2016,start of forecast,0.57
2017,,0.61
2018,,0.64
2019,,0.69
2020,,0.71
2021,,0.72
2022,,0.73
2023,,0.74
2024,,0.74
2025,,0.75
2026,,0.76
2027,,0.77
2028,,0.77
2029,,0.78
2030,,0.79
2031,,0.79
2032,,0.8
2033,,0.81
2034,,0.82
2035,,0.83
2036,,0.84
2037,,0.84
2038,,0.85
2039,,0.86
2040,,0.87
