year,Base case diesel consumed,Holy cross power plant heat recovery for water distribution system
2019,35399.7492994,31599.7492994
2020,35399.7492994,31599.7492994
2021,35399.7492994,31599.7492994
2022,35399.7492994,31599.7492994
2023,35399.7492994,31599.7492994
2024,35399.7492994,31599.7492994
2025,35399.7492994,31599.7492994
2026,35399.7492994,31599.7492994
2027,35399.7492994,31599.7492994
2028,35399.7492994,31599.7492994
2029,35399.7492994,31599.7492994
2030,35399.7492994,31599.7492994
2031,35399.7492994,31599.7492994
