year,Base case diesel consumed,Modeled residential ashp
2017,97570.750507,46926.6549193
2018,97570.750507,46926.6549193
2019,99540.7812092,48896.6856215
2020,99540.7812092,48896.6856215
2021,101510.811911,50866.7163237
2022,101510.811911,50866.7163237
2023,103480.842614,52836.7470259
2024,103480.842614,52836.7470259
2025,103480.842614,52836.7470259
2026,105450.873316,54806.7777282
2027,105450.873316,54806.7777282
2028,105450.873316,54806.7777282
2029,107420.904018,56776.8084304
2030,107420.904018,56776.8084304
2031,109390.93472,58746.8391326
