year,Base case cost,Holy cross power plant heat recovery for water distribution system
2019,194372.667133,214148.432461
2020,202514.609472,221416.374799
2021,208532.566853,226788.33218
2022,212780.536769,230580.302096
2023,215612.516713,233108.28204
2024,218090.499164,235320.264491
2025,221276.476601,238164.241928
2026,224816.451531,241324.216858
2027,227648.431475,243852.196802
2028,230126.413926,246064.179253
2029,233666.388856,249224.154183
2030,235436.376321,250804.141648
2031,239330.348744,254280.114071
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
