year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,86456.0,61845.9305823
2018,86456.0,61845.9305823
2019,86456.0,61845.9305823
2020,86456.0,61845.9305823
2021,86456.0,61845.9305823
2022,86456.0,61845.9305823
2023,86456.0,61845.9305823
2024,86456.0,61845.9305823
2025,86456.0,61845.9305823
2026,86456.0,61845.9305823
2027,86456.0,61845.9305823
2028,86456.0,61845.9305823
2029,86456.0,61845.9305823
2030,86456.0,61845.9305823
2031,86456.0,61845.9305823
2032,,
2033,,
2034,,
2035,,
2036,,
