year,Base case cost,Modeled non-residential energy efficiency
2017,171637.2554,299018.383008
2018,200257.619179,326224.537611
2019,238418.104217,362499.410415
2020,257498.346736,380636.846818
2021,270218.508415,392728.471086
2022,280818.643148,402804.824642
2023,287178.723988,408850.636777
2024,292478.791354,413888.813555
2025,299898.885667,420942.261045
2026,308378.993453,429003.34389
2027,314739.074293,435049.156024
2028,321099.155133,441094.968158
2029,328519.249446,448148.415648
2030,332759.303339,452178.957071
2031,341239.411125,460240.039916
