year,Base case cost,Modeled biomass for heat (pellet)
2017,199827.760135,251758.080088
2018,223170.880135,268456.481345
2019,254295.040135,290721.016354
2020,269857.120135,301853.283859
2021,280231.840135,309274.795529
2022,288877.440135,315459.388587
2023,294064.800135,319170.144422
2024,298387.600135,322262.440951
2025,304439.520135,326591.656092
2026,311356.000135,331539.330539
2027,316543.360135,335250.086374
2028,321730.720135,338960.842209
2029,327782.640135,343290.057349
2030,331240.880135,345763.894573
2031,338157.360135,350711.569019
2032,,
2033,,
2034,,
2035,,
2036,,
