year,Base case cost,Modeled water and wastewater efficiency
2017,12442.53544,27740.328186
2018,14204.9715324,28903.4177956
2019,16529.1301109,30437.6568468
2020,17687.3568791,31202.2781521
2021,18461.8425025,31713.5336832
2022,19087.6326233,32126.8613723
2023,19445.7642163,32363.6013111
2024,19722.9624906,32547.0902129
2025,20129.0503452,32815.6368388
2026,20601.1001936,33127.6827471
2027,20956.9990037,33362.9116847
2028,21315.4963422,33599.818007
2029,21622.7265843,33804.0376717
2030,21761.4588235,33896.7659341
2031,22178.9726793,34173.2212762
