year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,86456.0,64083.2096203
2018,86456.0,64083.2096203
2019,86456.0,64083.2096203
2020,86456.0,64083.2096203
2021,86456.0,64083.2096203
2022,86456.0,64083.2096203
2023,86456.0,64083.2096203
2024,86456.0,64083.2096203
2025,86456.0,64083.2096203
2026,86456.0,64083.2096203
2027,86456.0,64083.2096203
2028,86456.0,64083.2096203
2029,86456.0,64083.2096203
2030,86456.0,64083.2096203
2031,86456.0,64083.2096203
2032,,
2033,,
2034,,
2035,,
2036,,
