year,Base case diesel consumed,Modeled wind power
2019,192146.005945,168002.624838
2020,194244.641483,170101.260376
2021,197208.980374,173065.599267
2022,199219.291993,175075.910886
2023,201959.591374,177816.210267
2024,203885.709534,179742.328427
2025,206111.28592,181967.904813
2026,209699.680837,185556.29973
2027,212207.984903,188064.603796
2028,214719.082253,190575.701146
2029,217014.54165,192871.160543
2030,219381.102831,195237.721724
2031,222035.13658,197891.755473
2032,225334.530427,201191.14932
2033,227844.865581,203701.484474
2034,230785.662757,206642.28165
2035,233367.784622,209224.403515
2036,235878.175923,211734.794816
2037,238532.037451,214388.656344
2038,241974.871421,217831.490314
