year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2004,,1.58,2.5
2005,,1.83,2.5
2008,,3.08,6.55
2009,,3.96,6.55
2010,,2.94,6.55
2011,,3.45,6.78
2012,,4.33,6.94
2013,,4.27,6.88
2014,,,7.22
2016,start of forecast,1.79,3.99
2017,,2.14,4.34
2018,,2.39,4.59
2019,,2.74,4.94
2020,,2.9,5.1
2021,,3.01,5.21
2022,,3.1,5.3
2023,,3.15,5.35
2024,,3.2,5.4
2025,,3.26,5.46
2026,,3.33,5.53
2027,,3.39,5.59
2028,,3.44,5.64
2029,,3.5,5.7
2030,,3.54,5.74
2031,,3.61,5.81
2032,,3.69,5.89
2033,,3.76,5.96
2034,,3.84,6.04
2035,,3.88,6.08
2036,,3.96,6.16
2037,,4.01,6.21
2038,,4.08,6.28
2039,,4.14,6.34
2040,,4.23,6.43
