year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,187790.3,9408.18,504504.71,245188.91
2018,189886.98,9427.85,504504.71,249512.96
2019,192146.01,9447.86,504504.71,252756.0
2020,194244.64,9465.14,504504.71,255999.04
2021,197208.98,9490.79,504504.71,260323.09
2022,199219.29,9508.39,504504.71,263566.13
2023,201959.59,9531.56,504504.71,267890.18
2024,203885.71,9548.27,504504.71,271133.22
2025,206111.29,9567.73,504504.71,274376.26
2026,209699.68,9598.8,504504.71,279781.32
2027,212207.98,9620.08,504504.71,284105.37
2028,214719.08,9641.94,504504.71,287348.41
2029,217014.54,9661.56,504504.71,291672.46
2030,219381.1,9682.05,504504.71,294915.5
2031,222035.14,9704.98,504504.71,299239.55
