year,Base case diesel consumed,Modeled residential ashp
2017,1435.46550072,-4318.93215381
2018,1435.46550072,-4318.93215381
2019,1435.46550072,-4318.93215381
2020,1435.46550072,-4318.93215381
2021,1235.9180059,-4518.47964863
2022,1235.9180059,-4518.47964863
2023,1235.9180059,-4518.47964863
2024,1435.46550072,-4318.93215381
2025,1435.46550072,-4318.93215381
2026,1435.46550072,-4318.93215381
2027,1435.46550072,-4318.93215381
2028,1435.46550072,-4318.93215381
2029,1834.56049037,-3919.83716416
2030,2233.65548002,-3520.74217451
2031,2433.20297484,-3321.19467969
