year,Base case diesel consumed,Modeled residential energy efficiency
2017,5754.39765453,4139.35848823
2018,5754.39765453,4139.35848823
2019,5754.39765453,4139.35848823
2020,5754.39765453,4139.35848823
2021,4954.4650643,3339.42589799
2022,4954.4650643,3339.42589799
2023,4954.4650643,3339.42589799
2024,5754.39765453,4139.35848823
2025,5754.39765453,4139.35848823
2026,5754.39765453,4139.35848823
2027,5754.39765453,4139.35848823
2028,5754.39765453,4139.35848823
2029,7354.26283499,5739.22366869
2030,8954.12801546,7339.08884916
2031,9754.06060569,8139.02143939
