year,Base case cost,Modeled transmission and interties
2021,156723.073631,
2022,161259.01528,
2023,164431.214603,
2024,166548.234026,
2025,169438.509406,
2026,173573.393898,
2027,176402.252777,
2028,178440.836667,
2029,181989.674538,
2030,183994.220366,
2031,188005.531897,
2032,191486.293646,
2033,195157.964521,
2034,199289.149224,
2035,201188.621037,
2036,205249.509743,
2037,207913.35802,
2038,211733.760424,
2039,215035.452372,
2040,219294.649784,
