year,annotation,Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,730767.0,0.0,730767.0
2004,,809836.0,0.0,809836.0
2005,,782266.0,0.0,782266.0
2006,,791566.0,0.0,791566.0
2007,,791972.0,0.0,791972.0
2008,,747927.0,0.0,747927.0
2009,,746116.0,0.0,746116.0
2010,,750711.0,0.0,750711.0
2011,,775056.0,0.0,775056.0
2012,,781582.0,0.0,781582.0
2013,,730320.0,0.0,730320.0
2014,,663280.0,0.0,663280.0
2015,,719785.0,8779.0,711006.0
2016,start of forecast,718000.0,25529.0,692471.0
2017,,715000.0,25529.0,689471.0
2018,,713000.0,25529.0,687471.0
2019,,711000.0,25529.0,685471.0
2020,,708000.0,25529.0,682471.0
2021,,706000.0,25529.0,680471.0
2022,,703000.0,25529.0,677471.0
2023,,701000.0,25529.0,675471.0
2024,,699000.0,25529.0,673471.0
2025,,696000.0,25529.0,670471.0
2026,,694000.0,25529.0,668471.0
2027,,691000.0,25529.0,665471.0
2028,,689000.0,25529.0,663471.0
2029,,687000.0,25529.0,661471.0
2030,,685000.0,25529.0,659471.0
2031,,683000.0,25529.0,657471.0
2032,,681000.0,25529.0,655471.0
2033,,678000.0,25529.0,652471.0
2034,,675000.0,25529.0,649471.0
2035,,673000.0,25529.0,647471.0
2036,,670000.0,25529.0,644471.0
2037,,669000.0,25529.0,643471.0
2038,,667000.0,25529.0,641471.0
2039,,665000.0,25529.0,639471.0
2040,,663000.0,25529.0,637471.0
