year,Base case diesel consumed,"Eagle (eagle village, american creek)"
2021,50351.9861362,39015.8565904
2022,50129.9987798,38793.869234
2023,49982.0072089,38645.8776631
2024,49834.0156379,38497.8860921
2025,49612.0282815,38275.8987357
2026,49464.0367105,38127.9071648
2027,49242.0493541,37905.9198083
2028,49094.0577832,37757.9282374
2029,48946.0662122,37609.9366664
2030,48798.0746413,37461.9450955
2031,48650.0830703,37313.9535246
2032,48502.0914994,37165.9619536
2033,48280.104143,36943.9745972
2034,48058.1167866,36721.9872408
2035,47910.1252156,36573.9956698
2036,47688.1378592,36352.0083134
2037,47614.1420737,36278.0125279
2038,47466.1505028,36130.020957
2039,47318.1589318,35982.0293861
2040,47170.1673609,35834.0378151
2041,47022.17579,35686.0462442
2042,46948.1800045,35612.0504587
2043,46800.1884335,35464.0588877
2044,46726.1926481,35390.0631023
2045,46652.1968626,35316.0673168
2046,46504.2052916,35168.0757459
2047,46430.2095062,35094.0799604
2048,46356.2137207,35020.0841749
2049,46282.2179352,34946.0883894
2050,46208.2221498,34872.092604
2051,46208.2221498,34872.092604
2052,46208.2221498,34872.092604
2053,46208.2221498,34872.092604
2054,46208.2221498,34872.092604
2055,46208.2221498,34872.092604
2056,46208.2221498,34872.092604
2057,46208.2221498,34872.092604
2058,46208.2221498,34872.092604
2059,46208.2221498,34872.092604
2060,46208.2221498,34872.092604
2061,46208.2221498,34872.092604
2062,46208.2221498,34872.092604
2063,46208.2221498,34872.092604
2064,46208.2221498,34872.092604
2065,46208.2221498,34872.092604
2066,46208.2221498,34872.092604
2067,46208.2221498,34872.092604
2068,46208.2221498,34872.092604
2069,46208.2221498,34872.092604
2070,46208.2221498,34872.092604
