year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5068.39601364,481.215146996
2018,5075.82472543,481.920460596
2019,5081.9756405,482.504454721
2020,5087.79023644,483.056517273
2021,5095.81735874,483.818646521
2022,5100.69290635,484.281551817
2023,5105.16519491,484.706169978
2024,5109.48821824,485.116616262
2025,5114.11517041,485.555918846
2026,5120.40104499,486.152726604
2027,5125.84207298,486.669321022
2028,5131.28337089,487.185941066
2029,5140.49921664,488.060932791
2030,5149.26078866,488.892793827
2031,5156.77506479,489.60623127
