year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,22149.66,144422.98,186373.67,9835.48,160734.9,222992.76
2018,23451.08,152684.88,200399.27,10275.44,167282.45,234941.53
2019,25258.19,164251.54,218756.14,10872.82,176449.02,250837.76
2020,26152.02,169869.63,225351.28,11180.44,180901.36,257167.14
2021,26753.82,173504.86,234966.59,11405.15,183782.28,264410.37
2022,27238.48,176479.14,243968.64,11580.13,186139.4,270989.7
2023,27568.67,178462.0,246404.76,11704.45,187710.81,273277.43
2024,27847.49,180114.38,253963.44,11811.94,189020.32,278421.33
2025,28179.55,182097.23,256453.78,11938.03,190591.73,280735.97
2026,28572.62,184410.56,265005.2,12091.12,192425.05,286732.16
2027,28910.53,186393.42,273250.0,12223.24,193996.46,292396.41
2028,29197.78,188045.8,275415.63,12339.36,195305.97,294370.13
2029,29558.65,190028.65,283814.02,12496.03,196877.38,300110.64
2030,29815.0,191350.56,297254.23,12617.36,197924.99,308487.51
2031,30271.05,193994.36,300936.09,12798.47,200020.2,311753.13
2032,,,310129.03,,,318067.81
2033,,,319448.47,,,324445.28
2034,,,329381.74,,,331307.22
2035,,,337970.45,,,336962.49
2036,,,348165.75,,,343954.52
