year,Base case cost,Modeled solar power (pv)
2016,103275.2711,110597.03649
2017,123947.072095,130945.703108
2018,139312.238607,146089.295962
2019,160289.070156,166752.76302
2020,171225.312651,177551.326056
2021,178999.853647,185246.95742
2022,185220.832167,191409.127524
2023,189717.042337,195875.411724
2024,193410.304431,199548.604078
2025,197970.810257,204080.468056
2026,203420.98853,209493.643608
2027,208060.742489,214106.150942
2028,212389.484904,218417.17746
2029,217898.725466,223900.387297
2030,222232.701248,228226.446325
2031,228831.22984,234782.715435
2032,234314.303566,240233.0248
2033,240693.778354,246580.47906
2034,246911.018755,252757.967967
2035,253324.884242,259158.13355
