year,Base case diesel consumed,"Goodnews bay (stream s of chawekat mountain) -- unnamed creek, s of chawekat moutain","Goodnews (unnamed tributary to sphinx creek) -- sphinx creek, tributary"
2021,58688.4766056,31060.951543,45159.2213354
2022,58987.5261679,31360.0011053,45458.2708978
2023,59286.5757302,31659.0506677,45757.3204601
2024,59510.8629019,31883.3378394,45981.6076318
2025,59809.9124643,32182.3874017,46280.6571942
2026,60183.7244172,32556.1993546,46654.4691471
2027,60482.7739795,32855.2489169,46953.5187094
2028,60856.5859324,33229.0608698,47327.3306623
2029,61379.9226665,33752.3976039,47850.6673963
2030,61903.2594005,34275.734338,48374.0041304
2031,62351.833744,34724.3086814,48822.5784739
2032,62650.8833063,35023.3582438,49121.6280362
2033,63174.2200404,35546.6949778,49644.9647703
2034,63473.2696027,35845.7445402,49944.0143326
2035,64295.6558991,36668.1308365,50766.400629
2036,64594.7054614,36967.1803989,51065.4501913
2037,64968.5174143,37340.9923518,51439.2621442
2038,65491.8541484,37864.3290858,51962.5988783
2039,65716.1413201,38088.6162576,52186.88605
2040,66314.2404448,38686.7153822,52784.9851746
2041,66688.0523977,39060.5273351,53158.7971275
2042,67136.6267411,39509.1016786,53607.371471
2043,67510.438694,39882.9136315,53981.1834239
2044,67884.2506469,40256.7255844,54354.9953768
2045,68332.8249904,40705.2999279,54803.5697203
2046,69229.9736774,41602.4486148,55700.7184073
2047,69678.5480209,42051.0229583,56149.2927508
2048,70201.8847549,42574.3596924,56672.6294848
2049,70650.4590984,43022.9340359,57121.2038283
2050,71099.0334419,43471.5083793,57569.7781718
