year,Base case cost,Modeled biomass for heat (cordwood)
2017,206906.985637,238513.230811
2018,220908.465637,248132.670105
2019,239699.925637,261311.083909
2020,248174.505637,266877.827887
2021,254069.865637,270553.85175
2022,258491.385637,273156.105992
2023,261439.065637,274684.215381
2024,264018.285637,275955.148215
2025,266965.965637,277513.436467
2026,270650.565637,279631.175581
2027,273598.245637,281218.24464
2028,275809.005637,282274.310364
2029,279125.145637,284161.271848
2030,281335.905637,285244.141786
2031,284652.045637,287157.279261
2032,,
2033,,
2034,,
2035,,
2036,,
