year,Base case cost,Modeled water and wastewater efficiency
2017,96157.3363512,76600.5824655
2018,101367.946495,80051.7050625
2019,108364.264248,84757.0607929
2020,111533.318361,86788.6499791
2021,113735.608031,88147.9862152
2022,115371.44858,89115.0120119
2023,116438.745809,89688.1492006
2024,117380.498487,90177.6073583
2025,118470.462146,90774.858241
2026,119852.428593,91580.4923409
2027,120950.908061,92191.4431352
2028,121768.197538,92609.2525271
2029,123090.057298,93384.5998842
2030,123979.293256,93860.5269516
2031,125254.012156,94609.4180211
