year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,36846.0,27244.4912963
2018,36846.0,27244.4912963
2019,36846.0,27244.4912963
2020,36846.0,27244.4912963
2021,36846.0,27244.4912963
2022,36846.0,27244.4912963
2023,36846.0,27244.4912963
2024,36846.0,27244.4912963
2025,36846.0,27244.4912963
2026,36846.0,27244.4912963
2027,36846.0,27244.4912963
2028,36846.0,27244.4912963
2029,36846.0,27244.4912963
2030,36846.0,27244.4912963
2031,36846.0,27244.4912963
2032,,
2033,,
2034,,
2035,,
2036,,
