year,Base case cost,High-penetration wind energy project- kokhanok,Modeled wind power
2017,137942.67863,,
2018,150020.609017,,
2019,166230.462958,,
2020,173540.789245,,
2021,178626.233618,,
2022,182440.316898,,
2023,184983.039085,,
2024,187207.920998,,
2025,189750.643185,,
2026,192929.045918,,
2027,195471.768105,,
2028,197378.809745,,
2029,200239.372205,,
2030,202146.413845,,
2031,205006.976305,,
2032,208185.379039,,
2033,211363.781772,,
2034,214542.184506,,
2035,216449.226146,,
2036,219945.469153,,
2037,221852.510793,,
2038,225030.913526,,
