year,Base case diesel consumed,Modeled transmission and interties
2021,41668.8836013,0.0
2022,41668.8836013,0.0
2023,41668.8836013,0.0
2024,41668.8836013,0.0
2025,41668.8836013,0.0
2026,41668.8836013,0.0
2027,41668.8836013,0.0
2028,41668.8836013,0.0
2029,41668.8836013,0.0
2030,41668.8836013,0.0
2031,41668.8836013,0.0
2032,41668.8836013,0.0
2033,41668.8836013,0.0
2034,41668.8836013,0.0
2035,41668.8836013,0.0
2036,41668.8836013,0.0
2037,41668.8836013,0.0
2038,41668.8836013,0.0
2039,41668.8836013,0.0
2040,41668.8836013,0.0
