year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,31784.03,6857.91,36845.93,23576.77
2018,31784.03,6859.44,36845.93,23576.77
2019,31784.03,6861.45,36845.93,24424.52
2020,31784.03,6863.11,36845.93,24424.52
2021,31784.03,6864.08,36845.93,24424.52
2022,31784.03,6863.85,36845.93,24424.52
2023,31784.03,6862.37,36845.93,24424.52
2024,31784.03,6861.54,36845.93,24424.52
2025,31784.03,6861.39,36845.93,23576.77
2026,31784.03,6862.29,36845.93,24424.52
2027,31784.03,6862.61,36845.93,24424.52
2028,31784.03,6862.48,36845.93,24424.52
2029,31784.03,6867.51,36845.93,24424.52
2030,31784.03,6871.25,36845.93,25272.27
2031,31784.03,6873.59,36845.93,25272.27
2032,31784.03,,,25272.27
2033,31784.03,,,24424.52
2034,31784.03,,,24424.52
2035,31784.03,,,24424.52
2036,31784.03,,,24424.52
