year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,116360.914131,86107.0764567
2018,116360.914131,86107.0764567
2019,116360.914131,86107.0764567
2020,116360.914131,86107.0764567
2021,116360.914131,86107.0764567
2022,116360.914131,86107.0764567
2023,116360.914131,86107.0764567
2024,116360.914131,86107.0764567
2025,116360.914131,86107.0764567
2026,116360.914131,86107.0764567
2027,116360.914131,86107.0764567
2028,116360.914131,86107.0764567
2029,116360.914131,86107.0764567
2030,116360.914131,86107.0764567
2031,116360.914131,86107.0764567
