year,Base case cost,Modeled biomass for heat (pellet)
2017,3683209.76769,4119698.55328
2018,4032264.81066,4379886.24081
2019,4648235.13462,4876281.16615
2020,4950899.62409,5118672.76348
2021,5160133.57224,5285783.4729
2022,5388870.45176,5477684.16055
2023,5578148.39127,5643125.09378
2024,5844719.24948,5885995.68417
2025,6110281.45718,6127991.15774
2026,6408475.76661,6397605.47085
2027,6626751.95387,6590000.84246
2028,6811182.80034,6751247.06931
2029,7843323.50711,7755180.93841
2030,8810480.54308,8704537.07082
2031,9740698.81653,9604211.09723
2032,9795191.3387,9630844.31285
2033,9610292.32187,9415624.61287
2034,9494237.11621,9269356.59169
2035,9597412.21358,9350139.71226
2036,10194152.8104,9914303.87055
