year,Base case cost,Modeled biomass for heat (cordwood)
2017,3683209.76769,4248346.83404
2018,4032264.81066,4509294.62316
2019,4648235.13462,5009412.82357
2020,4950899.62409,5250304.07186
2021,5160133.57224,5414428.05055
2022,5388870.45176,5603021.11957
2023,5578148.39127,5764128.69854
2024,5844719.24948,6002805.85593
2025,6110281.45718,6240744.53842
2026,6408475.76661,6506903.10583
2027,6626751.95387,6695739.24056
2028,6811182.80034,6853319.68523
2029,7843323.50711,7854179.65321
2030,8810480.54308,8799648.03489
2031,9740698.81653,9696721.84353
2032,9795191.3387,9720636.77854
2033,9610292.32187,9503045.62851
2034,9494237.11621,9354516.53573
2035,9597412.21358,9432444.96709
2036,10194152.8104,9994794.91329
