year,annotation,Average Load
2003,,23157.0
2004,,23475.0
2005,,23708.0
2006,,24843.0
2007,,25502.0
2008,,26082.0
2009,,26638.0
2010,,26315.0
2011,,28443.0
2012,,29355.0
2013,,29331.0
2014,,28827.0
2015,start of forecast,30947.0
2016,,32217.0
2017,,33485.0
2018,,34150.0
2019,,34007.0
2020,,33903.0
2021,,33803.0
2022,,33436.0
2023,,32935.0
2024,,32045.0
2025,,31179.0
2026,,30330.0
2027,,29849.0
2028,,29474.0
2029,,25151.0
2030,,20939.0
2031,,17484.0
2032,,18120.0
2033,,19887.0
2034,,21297.0
2035,,21437.0
2036,,19800.0
2037,,16495.0
2038,,13424.0
2039,,12274.0
2040,,12695.0
