year,Base case cost,Modeled water and wastewater efficiency
2017,40405.7328892,140472.605002
2018,42927.3654404,139438.844825
2019,47841.7231836,140054.574243
2020,50263.6754893,139107.589352
2021,51940.2285075,137734.618075
2022,53881.9722562,136602.04962
2023,55544.9871633,135349.633919
2024,57942.5031884,134644.978977
2025,60339.3370199,133992.826911
2026,62987.8906734,133556.445148
2027,64866.1130679,132656.325016
2028,66442.4597203,131605.926869
2029,76041.619501,135973.613046
2030,85080.5747828,140020.389379
2031,93588.9706205,143740.257362
