year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,28864.35,2396771.39,1530634.04,11541.38,3333852.37,1431213.56
2018,31616.99,2683882.61,1572089.57,11310.38,3341335.15,1379540.93
2019,36441.2,3078660.52,1792292.32,11400.52,3351623.96,1395692.44
2020,38805.99,3267077.25,1907050.48,11457.69,3356534.53,1406678.07
2021,40432.41,3392688.41,1991920.52,11507.82,3359808.25,1416999.51
2022,42222.1,3500355.11,2120787.77,11659.87,3362614.29,1448039.44
2023,43684.62,3563160.69,2259219.75,11860.36,3364251.14,1490563.74
2024,45729.88,3625966.27,2484902.83,12212.62,3365888.0,1566002.84
2025,47783.65,3688771.85,2708617.04,12555.69,3367524.86,1638524.6
2026,50093.65,3769521.88,2946273.72,12894.24,3369629.39,1709857.7
2027,51777.25,3841299.68,3104029.88,13088.87,3371500.08,1751219.72
2028,53201.22,3904105.26,3234298.23,13241.24,3373136.94,1783517.34
2029,61105.35,3984855.28,4293295.9,14936.27,3375241.47,2145751.71
2030,68495.47,4029716.41,5320829.94,16585.1,3376410.65,2498748.02
2031,75642.69,4119438.66,6246203.81,17946.28,3378749.02,2788476.08
2032,76069.35,4200188.69,6202745.05,17708.65,3380853.55,2737680.7
2033,74700.94,4289910.95,5882047.59,17029.94,3383191.91,2590880.22
2034,73824.71,4379633.2,5639758.47,16489.96,3385530.28,2475437.15
2035,74637.82,4442438.78,5675479.71,16443.13,3387167.14,2464604.19
2036,79232.29,4541133.26,6212548.91,17097.14,3389739.34,2603418.63
2037,86169.34,4594966.61,7150186.95,18399.82,3391142.36,2883011.68
2038,93711.45,4693661.09,8109290.17,19618.22,3393714.56,3142832.38
2039,97309.46,4765438.89,8532485.63,20080.55,3395585.26,3241042.32
2040,98515.55,4864133.37,8572782.15,19930.28,3398157.46,3207290.97
