year,Base case cost,Modeled residential energy efficiency
2017,2961847.59249,3108241.96919
2018,2951630.50187,3046373.23604
2019,3187984.76427,3216768.87362
2020,3313728.54177,3304837.30918
2021,3408920.02842,3371156.89491
2022,3568827.20736,3504903.63722
2023,3749783.48469,3666055.63452
2024,4050905.67451,3947638.03247
2025,4347141.6391,4224592.49455
2026,4656131.42645,4512118.88678
2027,4855249.59739,4691237.05051
2028,5017815.56478,4835260.62555
2029,6439047.61038,6235751.06319
2030,7819577.96197,7600637.4704
2031,9034679.89424,8794234.16783
2032,8940425.75299,8679910.63538
2033,8472927.80688,8191339.88587
2034,8115195.62098,7812743.54101
2035,8140083.90346,7820622.61121
2036,8815967.53817,8474827.75592
