year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,1378796.0,1121612.6915
2018,1347987.0,1090803.6915
2019,1354648.0,1097464.6915
2020,1359643.0,1102459.6915
2021,1364637.0,1107453.6915
2022,1381293.0,1124109.6915
2023,1404607.0,1147423.6915
2024,1446239.0,1189055.6915
2025,1486208.0,1229024.6915
2026,1525347.0,1268163.6915
2027,1547828.0,1290644.6915
2028,1565313.0,1308129.6915
2029,1765988.0,1508804.6915
2030,1961667.0,1704483.6915
2031,2121545.0,1864361.6915
2032,2092398.0,1835214.6915
2033,2009965.0,1752781.6915
2034,1945013.0,1687829.6915
2035,1938353.0,1681169.6915
2036,2014128.0,1756944.6915
