year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,49232.0919213,36431.7480217
2018,49232.0919213,36431.7480217
2019,49232.0919213,36431.7480217
2020,49232.0919213,36431.7480217
2021,49232.0919213,36431.7480217
2022,49232.0919213,36431.7480217
2023,49232.0919213,36431.7480217
2024,49232.0919213,36431.7480217
2025,49232.0919213,36431.7480217
2026,49232.0919213,36431.7480217
2027,49232.0919213,36431.7480217
2028,49232.0919213,36431.7480217
2029,49232.0919213,36431.7480217
2030,49232.0919213,36431.7480217
2031,49232.0919213,36431.7480217
