year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,83993.0,69880.9243354
2018,83976.0,69863.9243354
2019,82888.0,68775.9243354
2020,82873.0,68760.9243354
2021,81784.0,67671.9243354
2022,81768.0,67655.9243354
2023,80681.0,66568.9243354
2024,79592.0,65479.9243354
2025,79577.0,65464.9243354
2026,78490.0,64377.9243354
2027,78475.0,64362.9243354
2028,77387.0,63274.9243354
2029,77376.0,63263.9243354
2030,77365.0,63252.9243354
2031,76280.0,62167.9243354
2032,76266.0,62153.9243354
2033,75178.0,61065.9243354
2034,75164.0,61051.9243354
2035,74078.0,59965.9243354
2036,74066.0,59953.9243354
