year,Base case cost,Modeled biomass for heat (pellet)
2017,298241.688776,311673.61234
2018,322534.365309,331474.128858
2019,350681.903401,353727.666356
2020,366364.311518,366347.636458
2021,372181.988819,369958.533338
2022,380285.976144,376287.826198
2023,380878.235028,375537.272111
2024,379716.892329,373323.677507
2025,385215.720446,377496.136773
2026,387017.879331,377697.61944
2027,392437.167448,381806.22104
2028,390865.65554,379213.830722
2029,397000.176826,383911.500574
2030,400811.988112,386717.038762
2031,402056.028581,386397.370043
2032,408083.51749,391009.152294
2033,409027.875583,390403.403456
2034,416468.104492,396158.96765
2035,414154.704169,392872.915545
2036,421494.214663,398540.429411
