year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,1041.68093258,677.092606174
2018,1025.2104996,666.386824737
2019,1009.9027596,656.436793738
2020,994.506878643,646.429471118
2021,978.715939781,636.165360858
2022,963.277838898,626.130595284
2023,947.607391327,615.944804363
2024,932.390396761,606.053757895
2025,917.351329038,596.278363875
2026,902.619315346,586.702554975
2027,887.696763661,577.00289638
2028,873.324853065,567.661154492
2029,862.346026574,560.524917273
2030,850.771049201,553.001181981
2031,838.386628058,544.951308238
