year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,83993.0,71163.8403049
2018,83976.0,71146.8403049
2019,82888.0,70058.8403049
2020,82873.0,70043.8403049
2021,81784.0,68954.8403049
2022,81768.0,68938.8403049
2023,80681.0,67851.8403049
2024,79592.0,66762.8403049
2025,79577.0,66747.8403049
2026,78490.0,65660.8403049
2027,78475.0,65645.8403049
2028,77387.0,64557.8403049
2029,77376.0,64546.8403049
2030,77365.0,64535.8403049
2031,76280.0,63450.8403049
2032,76266.0,63436.8403049
2033,75178.0,62348.8403049
2034,75164.0,62334.8403049
2035,74078.0,61248.8403049
2036,74066.0,61236.8403049
