year,Base case cost,Modeled solar power (pv)
2016,322185.178065,340035.997452
2017,386075.43101,402671.46302
2018,437069.052199,452623.518414
2019,504862.663867,519189.466611
2020,540674.324923,554225.333804
2021,566805.329021,579726.049885
2022,588891.629216,601250.821553
2023,607099.864037,618964.684893
2024,622521.367053,633939.358296
2025,639664.305572,650628.206945
2026,660125.136202,670610.127401
2027,679624.819611,689659.528153
2028,696221.719384,705851.582751
2029,717811.079684,726993.820163
2030,733572.555054,742387.263591
2031,756036.767624,764424.235064
2032,778808.963901,786779.083149
2033,802246.970367,809809.422371
2034,827326.812681,834474.423616
2035,846679.943457,853488.307929
