year,Base case cost,Modeled wind power
2019,504862.663867,681231.26523
2020,540674.324923,701116.281781
2021,566805.329021,714507.061639
2022,588891.629216,725306.711107
2023,607099.864037,733678.194954
2024,622521.367053,740276.986976
2025,639664.305572,748310.937535
2026,660125.136202,758940.810541
2027,679624.819611,769181.038284
2028,696221.719384,777518.99205
2029,717811.079684,789685.374184
2030,733572.555054,797882.624571
2031,756036.767624,811180.157527
2032,778808.963901,824909.336011
2033,802246.970367,839425.088044
2034,827326.812681,855268.338107
2035,846679.943457,867229.130127
2036,873144.968531,884685.201743
2037,893400.47669,897770.674731
2038,920931.541988,916509.879931
