year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,2833.81971369,1441.69391463
2018,2858.16020285,1454.07703658
2019,2882.92584524,1466.67645346
2020,2908.03110313,1479.4486483
2021,2933.4783785,1492.3948431
2022,2959.36882206,1505.56649786
2023,2985.80558618,1519.01609092
2024,3012.7404975,1532.71911428
2025,3039.90733484,1546.54012904
2026,3067.31370453,1560.48300487
2027,3095.28374252,1574.71264459
2028,3123.29221244,1588.9618364
2029,3152.01367473,1603.57376009
2030,3181.14641204,1618.39491822
2031,3210.67134186,1633.41560265
