year,Base case cost,Goodro lake (goodro creek),Chomondeley sound (chomly creek),Neck lake hydropower project: phases ii-iii -- neck lake outlet,Lake 1013 project,Hetta lake,Klawak lake (klawak creek),Harris river (kasaan bay),Lake josephine (portage creek),"Thorne bay, thorne river",Karheen lake (karheen passage),Wolf lake,Coffman cove -- trumpeter creek,Red lake (red river),Beaver creek,Navy lake (navy creek),Whale pass work center (neck creek) -- neck island lake,Waterfall lake,Mary's lake (brown and johnson creeks) -- lake mary,Kasaan -- linkum creek,"Meyers chuck (meyers lake; 55.44', 132.14')","Meyers chuck (cannery creek; 155.46', 132.11')"
2021,0.0,98258.6440044,609265.079985,170660.319107,468282.580016,1418267.02741,291809.230438,199173.947119,2838051.03302,10490009.8721,281755.394931,346429.115323,228612.943114,30221598.2778,5609301.18134,1850617.01063,136947.265191,2206050.6288,2467670.55799,25690.5030474,733880.273916,695705.203069
2022,0.0,96266.1234103,597396.348706,167214.309437,458249.549981,1389185.95368,285745.084797,195047.451041,2779322.79334,10251110.1838,276152.361415,335094.289918,223478.247616,29587336.4505,5492951.32967,1812804.62135,134070.623243,2160996.19479,2416650.42299,25162.4726599,719609.82101,682029.422186
2023,0.0,94341.1287973,585822.451824,163881.837715,448675.174803,1361161.34065,279918.868461,191080.148557,2722844.91938,10026090.1241,270714.804093,325095.679772,218627.757041,28979301.1288,5381119.48778,1776336.63811,131313.468293,2117539.20735,2367575.8185,24653.89892,705687.923824,668721.686942
2024,0.0,92466.0041226,574523.620405,160634.949894,439376.206531,1333879.10631,274251.067319,187220.088364,2667890.18827,9808233.6929,265412.484228,315575.729612,213928.345368,28388109.3904,5272317.45237,1740827.93654,128632.816364,2075224.31789,2319822.50373,24158.860856,692095.537055,655736.69639
2025,0.0,90623.1183106,563480.237908,157445.735218,430169.518872,1307025.5306,268662.242137,183415.370206,2613732.10412,9590827.6856,260215.234128,305676.993609,209246.947144,27804386.0984,5165058.45837,1705893.86395,125985.718773,2033596.73994,2272766.86976,23671.4440593,678813.798835,643029.32421
2026,0.0,88816.9871385,552690.534312,154321.136972,421109.520954,1280685.45163,263174.790257,179680.511137,2560573.19565,9375957.4179,255129.236268,295679.319953,204624.615226,27230831.8135,5059759.67924,1671636.92276,123384.567537,1992777.42043,2226582.33431,23193.2621747,665838.995142,630605.091441
2027,0.0,87063.2114216,542161.73373,151285.545599,412369.446196,1255143.15491,257862.062128,176063.260607,2509080.84201,9170108.76581,250178.881247,286431.254747,200189.489798,26676188.5658,4957790.92663,1638403.41229,120869.441437,1953175.43443,2181841.12226,22729.695926,653175.071188,618494.924016
2028,0.0,85349.7620907,531879.079793,148319.877066,403825.870313,1230185.50654,252670.273475,172528.456178,2458762.70466,8968775.46571,245343.274705,277359.96188,195852.193381,26134120.5037,4858145.18131,1605931.70208,118411.31926,1914481.39888,2138120.53386,22276.7300813,640807.431786,606666.814138
2029,0.0,83670.1633399,521832.37878,145413.789548,395414.833525,1205699.25211,247571.148801,169057.573573,2409359.18312,8769652.73716,240610.65692,268177.001297,191566.918224,25601315.8606,4760292.36208,1574082.26306,115995.038364,1876530.23673,2095197.5449,21832.2357725,628725.39031,595101.531611
2030,0.0,82045.6147223,512033.695023,142600.494544,387369.25533,1182069.21589,242663.683713,165715.093379,2361771.7187,8581433.03115,236014.682522,260015.514493,187505.484553,25089554.9326,4666081.83814,1543324.35505,113674.60038,1839876.35287,2053845.20669,21403.4920407,616937.134636,583843.09803
2031,0.0,80436.5004331,502446.555047,139817.508365,379269.264,1158585.47014,237767.088615,162383.029484,2314349.51158,8388622.77582,231489.294974,250881.472292,183361.101907,24577437.4413,4572132.24506,1512789.23289,111351.945097,1803492.87768,2012646.98694,20977.0990407,605409.846203,572796.87367
2032,0.0,78858.532134,493078.859553,137089.413651,371288.633072,1135533.90741,232955.046387,159109.35796,2267763.16852,8197720.25865,227059.200288,241623.906696,179262.179372,24073739.9828,4479819.77975,1482825.28988,109067.307983,1767791.3819,1972177.91594,20558.4666339,594148.284628,561994.559764
2033,0.0,77321.9114863,483934.21067,134432.12585,363541.8824,1113101.16802,228275.860879,155925.505164,2222451.81792,8013027.12812,222740.092945,232807.643298,175293.661263,23584228.5587,4390046.19336,1453659.63519,106847.127094,1733040.10442,1932814.44343,20151.1296902,583153.618835,551455.382547
2034,0.0,75814.7377629,474998.635409,131826.783465,355906.213072,1091075.97875,223676.132716,152796.57105,2177926.85829,7830051.49109,218511.443783,223860.408581,171366.481451,23102607.3389,4301811.85984,1425033.06284,104662.562637,1698932.55183,1894137.11788,19751.1067145,572412.196587,541148.231895
2035,0.0,74363.8443231,466289.252373,129315.479856,348674.401552,1069944.21107,219280.60783,149803.839035,2135324.81423,7659696.30012,214416.271252,216200.093154,167696.225282,22643705.8207,4217447.72606,1397538.45559,102581.588666,1666169.2484,1857120.70461,19367.5842837,561936.706081,531130.470345
2036,0.0,72924.185552,457765.77898,126827.203187,341367.713163,1048897.84756,214883.358089,146812.937239,2092765.74257,7484280.32326,210379.735466,207548.812955,163932.832053,22183138.1378,4133102.60113,1370187.29899,100492.460908,1633581.79811,1820152.12028,18985.3086402,551691.327229,521295.544056
2037,0.0,71539.2246961,449458.839254,124430.221589,334457.172155,1028721.96461,210685.566077,143955.002435,2052083.51136,7321307.61442,206472.173691,200177.51567,160422.523752,21744796.7183,4052536.52338,1343938.21518,98504.6868571,1602302.96989,1784804.39993,18619.1175919,541700.254199,511738.939203
2038,0.0,70163.9532099,441328.376882,122053.587501,327464.224479,1008609.08223,206481.414832,141095.738533,2011399.2568,7153101.0923,202618.851523,191808.479731,156815.329603,21304307.2554,3971900.4373,1317803.38998,96506.5746403,1571165.20231,1749465.39842,18253.7671256,531927.93926,502354.361222
2039,0.0,68830.8092988,433396.387968,119748.225931,320741.362447,989145.699201,202421.313762,138333.172573,1972083.74355,6992770.96839,198872.068824,184144.217916,153370.529818,20879539.417,3894005.19922,1292498.78202,94580.0297974,1541014.48704,1715310.86209,17900.3437414,522391.358151,493212.311037
2040,0.0,67511.4116841,425636.305624,117469.359546,313988.267027,969823.502468,198375.8747,135582.856462,1932955.37495,6829240.96933,195184.40255,175760.054248,149868.783904,20455181.01,3816430.69412,1267402.26701,92654.8901908,1511115.44829,1681326.84922,17549.2539681,513066.44986,484244.599392
2041,0.0,66276.9475233,418101.308284,115328.893986,307973.078338,951926.351011,194673.696942,133059.031098,1897010.47461,6691017.81686,191671.742476,170348.730795,146874.059611,20070231.6655,3745319.20761,1244082.17315,90909.8962212,1483321.43014,1650083.69923,17224.7562857,503996.63978,475610.303848
2042,0.0,65071.4161162,410742.912444,113238.595588,302098.870634,934448.664041,191058.288977,130594.357892,1861908.03287,6556034.26952,188241.410373,165064.235235,143949.524168,19694304.5713,3675874.39657,1221308.64398,89205.8005477,1456178.83429,1619572.81056,16907.8640177,495139.403375,467178.374606
2043,0.0,63894.1393405,403556.978938,111197.288539,296362.339618,917380.610199,187527.617102,128187.450441,1827628.30429,6424214.39783,184891.476647,159903.594991,141093.532498,19327188.2649,3608057.19765,1199068.8692,87541.6446009,1429672.39277,1589777.02056,16598.3989094,486489.758366,458944.068629
2044,0.0,62744.4549971,396539.465798,109203.824638,290760.258587,900712.588985,184079.695372,125836.9549,1794152.00708,6295484.05528,181620.057015,154863.907288,138304.478152,18968676.2495,3541829.46478,1177350.33929,85916.4923204,1403787.19616,1560679.56959,16296.1868916,478042.839471,450902.754253
2045,0.0,61621.716382,389686.425632,107257.082549,285289.476338,884435.22454,180712.584314,123541.549101,1761460.31063,6169770.8303,178425.311286,149942.337273,135580.792271,18618566.8599,3477153.9445,1156140.83746,84329.4295487,1378508.68388,1532264.09017,16001.0579684,469793.895249,443049.908194
2046,0.0,60525.2919526,382994.003591,105355.967227,279946.915545,868539.360815,177424.389918,121299.941874,1729534.8258,6047004.00896,175305.442407,145136.116552,132920.942777,18276663.1589,3413994.25668,1135428.43331,82779.5635597,1353822.63672,1504514.59853,15712.8461291,461738.285652,435381.11321
2047,0.0,59454.5649748,376458.435215,103499.409303,274729.57104,853016.056454,174213.262591,119110.872325,1698357.59463,5927114.53545,172258.695467,140442.541646,130323.433514,17942772.8271,3352314.87428,1115201.47621,81266.0225605,1329715.16887,1477415.4857,15431.3892559,453871.479435,427892.055636
2048,0.0,58408.9331516,370076.044169,101686.364439,269634.508003,837856.57941,171077.396034,116973.109075,1667911.07956,5810034.97047,169283.356633,135858.972363,127786.803353,17616708.0472,3292081.10189,1095448.58825,79787.9551659,1306172.71961,1450951.50811,15156.5290258,446189.051422,420578.522786
2049,0.0,57387.8083276,363843.240434,99915.8128207,264658.860523,823052.402658,168015.026359,114885.449659,1638178.15479,5695699.45818,166377.752312,131382.830501,125309.62547,17298285.4117,3233259.05873,1076158.65866,78344.5299806,1283182.04657,1425107.78007,14888.1108333,438686.680342,413436.400887
2050,0.0,56390.6161177,357756.518042,98186.7585072,259799.829785,808595.198812,165024.430977,112846.719762,1609142.09547,5584043.68455,163540.248096,127011.598217,122890.506446,16987325.8069,3175815.65727,1057320.83682,76934.9350744,1260730.21746,1399869.76444,14625.9836924,431360.14609,406461.672476
2051,0.0,55416.7956014,351812.453214,96498.2289063,255054.682586,794476.835699,162103.927677,110855.772599,1580786.56882,5475004.84327,160769.247888,122742.816695,120528.085527,16683654.3183,3119718.5856,1038924.52645,75558.3775506,1238804.60312,1375223.26482,14370.0001567,424205.327494,399650.414271
2052,0.0,54465.7989996,346007.702382,94849.2742112,250420.749755,780689.371666,159251.873662,108911.488252,1553095.62472,5368521.59939,158063.192986,118574.084723,118221.033839,16387100.129,3064936.28882,1020959.37953,74214.0830883,1217392.87027,1351154.41745,14120.016234,417218.19993,392998.794904
2053,0.0,53537.0913882,340339.000443,93238.966905,245895.424763,767225.051431,156466.664686,107012.773086,1526053.68734,5264534.05739,155420.561268,114503.057441,115968.053693,16097496.4309,3011437.95256,1003415.29088,72901.2955382,1196482.97509,1327649.68387,13875.8913116,410394.833225,386503.072918
2054,0.0,52630.1503554,334803.158669,91666.4011656,241476.162045,754076.301114,153746.734026,105158.559044,1499645.54519,5162983.72272,152839.866213,110527.444833,113767.877755,15814680.3175,2959193.48321,986282.391701,71619.2764377,1176063.15544,1304695.84234,13637.4880654,403731.389132,380159.594373
2055,0.0,51744.4657535,329397.06319,90130.6924367,237160.475799,741235.724639,151090.551744,103347.803144,1473856.34389,5063813.47408,150319.6562,106645.010648,111619.268441,15538492.707,2908173.49363,969551.044852,70367.3046606,1156121.92532,1282279.98148,13404.6723955,397224.119513,373964.791111
2056,0.0,50879.539385,324117.673076,88630.9768819,232945.938452,728696.099182,148496.623734,101579.486837,1448671.577,4966967.5282,147858.51361,102853.571016,109521.01716,15268778.2437,2858349.28509,953211.838954,69144.6759726,1136648.06779,1260389.49237,13177.3133429,390869.36403,367915.178553
2057,0.0,50034.8847256,318962.018652,87166.4109058,228830.179312,716450.371159,145963.490905,99852.6154373,1424077.07801,4872391.40887,145455.054043,99150.9932395,107471.943636,15005385.2123,2809692.83129,937255.583145,67950.7026408,1117630.62874,1239012.06153,12955.2830174,384663.548109,362007.353771
2058,0.0,49210.0266674,313927.199926,85736.1707082,224810.883314,704491.652497,143489.728399,98166.2176022,1400059.01282,4780031.91821,143107.925581,95535.194663,105470.895292,14748165.4576,2762176.76356,921673.302226,66784.7130698,1099058.91109,1218135.66442,12738.4565297,378603.181054,356237.993686
2059,0.0,48404.5012139,309010.384726,84339.4517546,220885.789536,692813.216216,141073.944684,96519.3447038,1376603.87085,4689837.10242,140815.807925,92004.1413389,103516.746503,14496974.2889,2715774.35332,906456.230901,65646.0513708,1080922.46794,1197748.55772,12526.7119112,372684.853808,350603.852936
2060,0.0,47617.8552605,304208.807366,82975.4683968,217052.69013,681408.493246,138714.780891,94911.0703836,1353698.4587,4601756.22732,138577.411769,88555.8470652,101608.39807,14251670.4124,2670459.49941,891595.809635,64534.0770516,1063211.09761,1177839.27376,12319.9300565,366905.237338,345101.762341
2061,0.0,46849.6463281,299519.767015,81643.4534101,213309.429023,670271.068563,136410.91002,93340.4900058,1331329.89232,4515739.74846,136391.478041,85188.3722167,99744.7765695,14012115.8474,2626206.71276,877083.679612,63448.1646395,1045914.83767,1158396.6138,12117.9946532,361261.080675,339728.627038
2062,0.0,46099.4422863,294940.626009,80342.6575139,209653.900568,659394.677182,134161.036103,91806.720093,1309485.58905,4431739.28012,134256.777117,81899.8225329,97924.8336825,13778175.8407,2582991.10045,862911.677521,62387.7032908,1029023.95868,1139409.64103,11920.7921093,355749.208888,334481.424551
2063,0.0,45366.8211538,290468.808632,79072.349025,206084.04857,648773.201253,131963.893612,90308.8979166,1288153.26169,4349707.57299,132172.108252,78688.3482411,96147.5457118,13549718.8035,2540788.35416,849071.831766,61352.0965078,1012528.95971,1120867.67549,11728.2115006,350366.521612,329357.203387
2064,0.0,44651.3708311,286101.799488,77831.8133948,202597.864989,638400.666196,129818.246654,88846.1809516,1267320.91081,4269598.48422,130136.298819,75552.1428868,94411.9129329,13326616.2288,2499574.73485,835556.357435,60340.7617617,996420.56233,1102760.28731,11540.1445003,345109.991083,324353.08117
2065,0.0,43952.6888815,281837.142158,76620.3528292,199193.388866,628271.237519,127722.888316,87417.7464282,1246976.81833,4191366.95291,128148.203687,72489.4423729,92716.9590623,13108742.6226,2459327.06011,822357.652151,59353.1301825,980689.705651,1085077.29121,11356.4853221,339976.660534,319466.243111
2066,0.0,43270.3822741,277672.437637,75437.2858428,195868.705074,618379.217094,125676.63989,86022.7908061,1227109.54006,4114968.97133,126206.704489,69498.5238318,91061.7306341,12895975.424,2420022.68932,809468.291218,58388.6461957,965327.540564,1067808.73991,11177.1306516,334963.642302,314693.940207
