year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.69
2001,,,1.42
2003,,1.14,1.66
2004,,1.3,2.66
2005,,2.14,2.96
2006,,2.73,2.84
2008,,2.83,3.71
2009,,2.29,2.52
2010,,2.97,3.13
2011,,3.56,4.18
2012,,3.92,4.18
2013,,4.08,4.14
2014,,,4.19
2016,,1.53,1.97
2017,,1.87,2.31
2018,,2.14,2.58
2019,,2.5,2.94
2020,,2.68,3.12
2021,,2.8,3.24
2022,,2.9,3.34
2023,,2.96,3.4
2024,,3.01,3.45
2025,,3.08,3.52
2026,,3.16,3.6
2027,,3.22,3.66
2028,,3.28,3.72
2029,,3.35,3.79
2030,,3.39,3.83
2031,,3.47,3.91
2032,,3.56,4.0
2033,,3.64,4.08
2034,,3.73,4.17
2035,,3.78,4.22
2036,,3.87,4.31
2037,,3.92,4.36
2038,,4.01,4.45
2039,,4.08,4.52
2040,,4.18,4.62
