year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,49064.7494122,36307.9145651
2018,49064.7494122,36307.9145651
2019,49064.7494122,36307.9145651
2020,49064.7494122,36307.9145651
2021,49064.7494122,36307.9145651
2022,49064.7494122,36307.9145651
2023,49064.7494122,36307.9145651
2024,49064.7494122,36307.9145651
2025,49064.7494122,36307.9145651
2026,49064.7494122,36307.9145651
2027,49064.7494122,36307.9145651
2028,49064.7494122,36307.9145651
2029,49064.7494122,36307.9145651
2030,49064.7494122,36307.9145651
2031,49064.7494122,36307.9145651
