year,Base case cost,Modeled transmission and interties
2021,160300.60852,204833.639065
2022,164096.433494,203904.080736
2023,166724.312322,202373.830984
2024,168205.65735,200432.471251
2025,170824.776582,199253.124366
2026,173443.895815,197872.322138
2027,176054.255451,196592.837421
2028,177486.936056,195099.99885
2029,180377.602767,194157.898664
2030,182112.002794,192611.268614
2031,184667.858276,191716.763066
2032,187836.885485,190940.37787
2033,190360.622449,190138.714562
2034,193518.943485,189683.963416
2035,194865.974707,188531.861406
2036,198299.736375,188173.560452
2037,200302.764016,187208.502514
2038,203450.378879,186947.859541
2039,205324.932443,185966.57804
2040,208747.01465,186229.072788
