year,Base case diesel consumed,"Twin hills, alaska heat recovery study"
2019,77064.0,72564.0
2020,77063.0,72563.0
2021,76005.0,71505.0
2022,76004.0,71504.0
2023,76003.0,71503.0
2024,76001.0,71501.0
2025,76001.0,71501.0
2026,75999.0,71499.0
2027,74940.0,70440.0
2028,74939.0,70439.0
2029,74937.0,70437.0
2030,74936.0,70436.0
2031,74934.0,70434.0
2032,73876.0,69376.0
2033,73875.0,69375.0
2034,73874.0,69374.0
2035,73873.0,69373.0
2036,73872.0,69372.0
2037,73871.0,69371.0
2038,73870.0,69370.0
