year,Base case cost,"Twin hills, alaska heat recovery study"
2019,488235.359193,487072.294246
2020,507494.77374,504554.057056
2021,514208.26434,509820.192444
2022,524082.018887,518486.529794
2023,530915.393434,524307.075045
2024,536221.492528,528704.59084
2025,543061.582528,534560.009652
2026,551407.181621,541844.523604
2027,550468.256768,539947.781224
2028,555706.641315,544331.30491
2029,563185.510408,550832.966127
2030,567674.154955,554536.759237
2031,575901.744049,561766.563721
2032,575896.894649,560775.713725
2033,584015.349196,567919.675504
2034,592133.583743,575074.655396
2035,597296.678289,579465.470004
2036,606153.232836,587335.46211
2037,611315.997383,591747.130525
2038,619433.42193,598943.679941
