year,Base case cost,Modeled biomass for heat (cordwood)
2017,567905.514739,790485.535683
2018,608781.804739,818142.923654
2019,663875.934739,856373.356739
2020,690534.384739,873636.791168
2021,708306.684739,884387.056894
2022,722524.524739,892565.138263
2023,731410.674739,896855.612228
2024,738519.594739,899885.415714
2025,747405.744739,904281.515697
2026,759846.354739,911356.798778
2027,768732.504739,915853.631586
2028,775841.424739,919084.957381
2029,786504.804739,924991.966216
2030,793613.724739,928317.106761
2031,804277.104739,934315.731564
2032,,
2033,,
2034,,
2035,,
2036,,
