year,Base case cost,Modeled water and wastewater efficiency
2017,34634.2684912,66136.0908113
2018,43569.0014794,71488.9943955
2019,56086.9931322,79417.6970333
2020,61794.6445517,82519.4432788
2021,66027.0012862,84593.1274368
2022,69074.5664074,85845.1157253
2023,71230.9358462,86483.9696333
2024,73094.3693393,86935.2036193
2025,75258.1881255,87620.9507693
2026,77726.7333764,88543.7849207
2027,79903.4525967,89278.3310204
2028,81786.1919022,89822.6059532
2029,84260.8856084,90807.3239325
2030,85840.5852115,91172.7888578
2031,88330.4803763,92204.3342982
