year,Base case diesel consumed,Modeled non-residential ashp
2017,243576.071555,170503.250088
2018,243576.071555,170503.250088
2019,243576.071555,170503.250088
2020,243576.071555,170503.250088
2021,243576.071555,170503.250088
2022,243576.071555,170503.250088
2023,243576.071555,170503.250088
2024,243576.071555,170503.250088
2025,243576.071555,170503.250088
2026,243576.071555,170503.250088
2027,243576.071555,170503.250088
2028,243576.071555,170503.250088
2029,243576.071555,170503.250088
2030,243576.071555,170503.250088
2031,243576.071555,170503.250088
