year,Base case cost,Modeled solar power (pv)
2016,1198148.25843,1251197.3344
2017,1413608.28116,1461759.41208
2018,1558130.13899,1602482.00881
2019,1763929.44978,1803555.03747
2020,1842294.77542,1879183.1519
2021,1892310.88516,1926927.93869
2022,1920178.65741,1952898.03658
2023,1932908.45201,1964014.34734
2024,1938992.58758,1968602.4048
2025,1950041.67108,1978111.26608
2026,1964753.19966,1991239.56532
2027,1973219.46823,1998237.01652
2028,1975212.78001,1998873.28197
2029,1989508.47249,2011690.39771
2030,1988887.13039,2009853.37293
2031,1999857.0989,2019410.28219
2032,2009700.16124,2027797.84315
2033,2017821.99017,2034497.31512
2034,2024641.31624,2039926.74303
2035,2018100.82226,2032247.9911
