year,population
2003,706.0
2004,706.0
2005,694.0
2006,703.0
2007,666.0
2008,646.0
2009,660.0
2010,674.0
2011,674.0
2012,681.0
2013,690.0
2014,698.0
2015,707.0
2016,715.0
2017,723.0
2018,732.0
2019,739.0
2020,747.0
2021,755.0
2022,762.0
2023,769.0
2024,777.0
2025,784.0
2026,791.0
2027,798.0
2028,806.0
2029,812.0
2030,819.0
2031,826.0
2032,834.0
2033,842.0
2034,851.0
2035,859.0
2036,866.0
2037,874.0
2038,882.0
2039,890.0
2040,899.0
