year,Base case cost,Modeled non-residential energy efficiency
2017,710661.509445,979544.199313
2018,864024.246735,1105213.6565
2019,1078732.07894,1284037.85194
2020,1175861.81256,1361444.45474
2021,1247431.08996,1416922.223
2022,1298552.00239,1454883.83032
2023,1334336.64109,1479742.03406
2024,1365009.18855,1500325.91859
2025,1400793.82725,1525464.64812
2026,1441690.55719,1555154.9742
2027,1477475.19589,1580561.23398
2028,1508147.74335,1601680.32951
2029,1549044.47329,1631757.9713
2030,1574604.92951,1648709.97847
2031,1615501.65945,1679030.93761
